ITEM_NUM,UCC,CONFIG,UOM,DESCR,REPACK,CONV_FACTOR,HEIGHT,WIDTH,LEN,MIN WGT,MAX WGT,TARE WGT
D4376AC,90027182009563,IBP,PAL,CAB SHORT LOIN XT,,20,76,40,48,1,3000,0
D4376AC,90027182009563,DAKOTA,CS,CAB SHORT LOIN XT,MISC,1,9.3125,18.9375,23.8125,1,3000,3.3
D4376AC,90027182009563,DAKOTA,PAL,CAB SHORT LOIN XT,,22,76,40,48,1,3000,0
D4377AC,90027182001703,IBP,CS,SHORT LOIN XT 0X1 CHOICE,MISC,1,9.3125,18.9375,23.8125,5,100,3.4
D4377AC,90027182001703,IBP,PAL,SHORT LOIN XT 0X1 CHOICE,,20,76,40,48,820,1500,0
D4377AC,90027182001703,DAKOTA,CS,SHORT LOIN XT 0X1 CHOICE,MISC,1,9.3125,18.9375,23.8125,10,100,3.3
D4377AC,90027182001703,DAKOTA,PAL,SHORT LOIN XT 0X1 CHOICE,,22,76,40,48,770,1980,0
D4496AH,90027182009495,IBP,CS,CAB BTOM SIRLOIN BUTT BT 1.5/U,MISC,1,9.1875,15.75,24.25,5,100,2.9
D4496AH,90027182009495,IBP,PAL,CAB BTOM SIRLOIN BUTT BT 1.5/U,,20,76,40,48,100,1840,0
D4496AH,90027182009495,DAKOTA,CS,CAB BTOM SIRLOIN BUTT BT 1.5/U,MISC,1,9.3125,15.8125,23.8125,5,100,2.9
D4496AH,90027182009495,DAKOTA,PAL,CAB BTOM SIRLOIN BUTT BT 1.5/U,,30,76,40,48,50,3000,0
D4497AH,90027182000713,IBP,CS,CHOICE BALL TIP 1.5/U,MISC,1,9.1875,15.75,24.25,7,92,2.9
D4497AH,90027182000713,IBP,PAL,CHOICE BALL TIP 1.5/U,,20,76,40,48,1400,1840,0
D4497AH,90027182000713,DAKOTA,CS,CHOICE BALL TIP 1.5/U,MISC,1,9.3125,15.8125,23.8125,1,100,2.9
D4497AH,90027182000713,DAKOTA,PAL,CHOICE BALL TIP 1.5/U,,30,76,40,48,1,3000,0
D4568AH,90027182017667,IBP,CS,STR TOP SIRLOIN BL XT CH ANGUS,MISC,1,9.1875,15.75,24.25,43,100,2.7
D4568AH,90027182017667,IBP,PAL,STR TOP SIRLOIN BL XT CH ANGUS,,25,76,40,48,1075,2000,0
D4568AH,90027182017667,DAKOTA,CS,STR TOP SIRLOIN BL XT CH ANGUS,MISC,1,9.3125,15.8125,23.8125,50,92,2.9
D4568AH,90027182017667,DAKOTA,PAL,STR TOP SIRLOIN BL XT CH ANGUS,,30,76,40,48,1500,2760,0
D4577AH,90027182004452,IBP,CS,PLD TOP(CENTER CUT) & CULOTTE,MISC,1,9.1875,15.75,24.25,45,95,2.9
D4577AH,90027182004452,IBP,PAL,PLD TOP(CENTER CUT) & CULOTTE,,25,76,40,48,1125,2125,0
D4577AH,90027182004452,DAKOTA,CS,PLD TOP(CENTER CUT) & CULOTTE,MISC,1,9.3125,15.8125,23.8125,1,99,2.7
D4577AH,90027182004452,DAKOTA,PAL,PLD TOP(CENTER CUT) & CULOTTE,,30,76,40,48,1080,2040,0
D4586AH,90027182008597,IBP,CS,CAB - TOP SIRLOIN CENTER - CUT,MISC,1,9.1875,15.75,24.25,25,92,2.8
D4586AH,90027182008597,IBP,PAL,CAB - TOP SIRLOIN CENTER - CUT,,25,76,40,48,1400,2300,0
D4586AH,90027182008597,DAKOTA,CS,CAB - TOP SIRLOIN CENTER - CUT,MISC,1,9.3125,15.8125,23.8125,40,92,2.8
D4586AH,90027182008597,DAKOTA,PAL,CAB - TOP SIRLOIN CENTER - CUT,,30,76,40,48,1680,2760,0
D4657AC,90027182004742,IBP,CS,BI TENDERLOIN USDA CHOICE,BAC,1,5.1875,18.9375,20.25,45,89,5.2
D4657AC,90027182004742,IBP,PAL,BI TENDERLOIN USDA CHOICE,,20,76,40,48,900,1780,0
D4823AH,90027182008634,DAK,CS,BOTTOM SIRLOIN BUTT TRI T,MISC,1,9.1875,15.75,24.25,20,84,2.7
D4823AH,90027182008634,DAK,PAL,BOTTOM SIRLOIN BUTT TRI T,,25,76,40,48,500,2500,0
D4823AH,90027182008634,IBP,CS,BOTTOM SIRLOIN BUTT TRI T,MISC,1,9.1875,15.75,24.25,20,95,2.7
D4823AH,90027182008634,IBP,PAL,BOTTOM SIRLOIN BUTT TRI T,,25,76,40,48,1100,2100,0
D4823AH,90027182008634,DAKOTA,CS,BOTTOM SIRLOIN BUTT TRI T,MISC,1,9.1875,15.75,24.25,5,100,2.7
D4823AH,90027182008634,DAKOTA,PAL,BOTTOM SIRLOIN BUTT TRI T,,25,76,40,48,500,2500,0
D4826AH,90027182009730,IBP,CS,CAB BNLS BOTTOM SRLN BUTT,MISC,1,9.1875,15.75,24.25,5,900,2.8
D4826AH,90027182009730,IBP,PAL,CAB BNLS BOTTOM SRLN BUTT,,25,76,40,48,5,2500,0
D4826AH,90027182009730,DAKOTA,CS,CAB BNLS BOTTOM SRLN BUTT,MISC,1,9.3125,15.8125,23.8125,44,999,2.8
D4826AH,90027182009730,DAKOTA,PAL,CAB BNLS BOTTOM SRLN BUTT,,30,76,40,48,5,2520,0
D5156AH,90027182009341,IBP,CS,CAB FLANK STEAKS,MISC,1,9.1875,15.75,24.25,4,110,1
D5156AH,90027182009341,IBP,PAL,CAB FLANK STEAKS,,25,76,40,48,1500,2880,0
D5156AH,90027182009341,DAKOTA,CS,CAB FLANK STEAKS,MISC,1,9.3125,15.8125,23.8125,4,110,1
D5156AH,90027182009341,DAKOTA,PAL,CAB FLANK STEAKS,,30,76,40,48,1500,2880,0
D6126AH,90027182006173,IBP,CS,CAB INSIDE ROUND CAP-OFF DND,MISC,1,9.1875,15.75,24.25,20,70,2.8
D6126AH,90027182006173,IBP,PAL,CAB INSIDE ROUND CAP-OFF DND,,25,76,40,48,875,1750,0
D6126AH,90027182006173,DAKOTA,CS,CAB INSIDE ROUND CAP-OFF DND,MISC,1,9.3125,15.8125,23.8125,1,70,2.8
D6126AH,90027182006173,DAKOTA,PAL,CAB INSIDE ROUND CAP-OFF DND,,30,76,40,48,1,3000,2.8
D6127AH,90027182005756,IBP,CS,BEEF INSIDE ROUND CAP-OFF,MISC,1,9.1875,15.75,24.25,35,110,2.8
D6127AH,90027182005756,IBP,PAL,BEEF INSIDE ROUND CAP-OFF,,25,76,40,48,875,1500,0
D6127AH,90027182005756,DAKOTA,CS,BEEF INSIDE ROUND CAP-OFF,MISC,1,9.3125,15.8125,23.8125,1,2100,2.8
D6127AH,90027182005756,DAKOTA,PAL,BEEF INSIDE ROUND CAP-OFF,,30,78,40,48,1,3100,0
D6283AE,90027182008146,IBP,CS,BEEF BOTTOM ROUND CRT FLAT,MISC,1,42.25,39,47,1,3000,0
D6283AE,90027182008146,IBP,PAL,BEEF BOTTOM ROUND CRT FLAT,,1,76,40,48,1,3000,0
D6283AE,90027182008146,DAKOTA,CS,BEEF BOTTOM ROUND CRT FLAT,MISC,1,42.25,39,47,1,3000,23.9
D6283AE,90027182008146,DAKOTA,PAL,BEEF BOTTOM ROUND CRT FLAT,,1,76,40,48,1,3000,0
D6286AE,90027182013171,IBP,CS,CAB BEEF BOTTOM ROUND FLAT CRT,MISC,1,42.5,39,47,1,2500,19.5
D6286AE,90027182013171,IBP,PAL,CAB BEEF BOTTOM ROUND FLAT CRT,,1,76,40,48,1,2500,0
D6286AE,90027182013171,DAKOTA,CS,CAB BEEF BOTTOM ROUND FLAT CRT,MISC,1,42.5,39,47,1,2500,19.5
D6286AE,90027182013171,DAKOTA,PAL,CAB BEEF BOTTOM ROUND FLAT CRT,,1,76,40,48,1,2500,0
D6287AE,90027182011726,IBP,CS,BEEF BOTTOM ROUND CRT FLAT,MISC,1,42.5,39,47,1,2500,24.8
D6287AE,90027182011726,IBP,PAL,BEEF BOTTOM ROUND CRT FLAT,,1,76,40,48,1,3000,0
D6287AE,90027182011726,DAKOTA,CS,BEEF BOTTOM ROUND CRT FLAT,MISC,1,42.5,39,47,1,2500,24.8
D6287AE,90027182011726,DAKOTA,PAL,BEEF BOTTOM ROUND CRT FLAT,,25,76,40,48,1,2500,0
D6543AE,90027182008160,IBP,CS,BNLS KNUCKLES PEELED,MISC,1,42.25,39,47,10,3000,21.1
D6543AE,90027182008160,IBP,PAL,BNLS KNUCKLES PEELED,,1,76,40,48,10,3000,0
D6543AE,90027182008160,DAKOTA,CS,BNLS KNUCKLES PEELED,MISC,1,42.25,39,47,10,3000,21.1
D6543AE,90027182008160,DAKOTA,PAL,BNLS KNUCKLES PEELED,,1,76,40,48,10,3000,0
D7104AH,90027182007613,IBP,CS,BONELES BEEF BRISKET TDO,MISC,1,9.1875,15.75,24.25,10,85,2.7
D7104AH,90027182007613,IBP,PAL,BONELES BEEF BRISKET TDO,,25,76,40,48,675,2125,0
D7104AH,90027182007613,DAKOTA,CS,BONELES BEEF BRISKET TDO,MISC,1,9.3125,15.8125,23.8125,33,101,3
D7104AH,90027182007613,DAKOTA,PAL,BONELES BEEF BRISKET TDO,,30,76,40,48,30,3000,0
D7109AH,90027182023880,IBP,CS,BNLS BRISKET TDO PRIME,MISC,1,9.1875,15.75,24.25,27,85,2.7
D7109AH,90027182023880,IBP,PAL,BNLS BRISKET TDO PRIME,,25,76,40,48,675,2125,0
D7109AH,90027182023880,DAKOTA,CS,BNLS BRISKET TDO PRIME,MISC,1,9.1875,15.75,24.25,27,85,2.7
D7109AH,90027182023880,DAKOTA,PAL,BNLS BRISKET TDO PRIME,,25,76,40,48,675,2125,0
D7134AE,90027182019029,IBP,CS,BNLS BRISKET NOSE OFF SEL,MISC,1,42.5,39,47,100,2200,21.1
D7134AE,90027182019029,IBP,PAL,BNLS BRISKET NOSE OFF SEL,,1,76,40,48,100,2200,0
D7134AE,90027182019029,DAKOTA,CS,BNLS BRISKET NOSE OFF SEL,MISC,1,42.5,39,47,100,2300,21.1
D7134AE,90027182019029,DAKOTA,PAL,BNLS BRISKET NOSE OFF SEL,,1,42.5,39,47,100,2300,0
D9001CE,90027182004346,IBP,CS,TEST PRODUCT VARIOUS BEEF CUTS,MISC,1,9.3125,18.9375,23.8125,1,5000,3.1
D9001CE,90027182004346,IBP,PAL,TEST PRODUCT VARIOUS BEEF CUTS,,28,76,40,48,280,5000,0
D9001CE,90027182004346,DAKOTA,CS,TEST PRODUCT VARIOUS BEEF CUTS,MISC,1,9.3125,18.9375,23.8125,1,5000,3.1
D9001CE,90027182004346,DAKOTA,PAL,TEST PRODUCT VARIOUS BEEF CUTS,,1,76,40,48,280,5000,0
F1245AG,90027182106484,IBP,CS,BNLS SHOULDER BUTTS SUPR TRIM,MISC,1,12,12,24,42,89,3.3
F1245AG,90027182106484,IBP,PAL,BNLS SHOULDER BUTTS SUPR TRIM,,24,76,40,48,1008,2136,0
P0841PA,30027182546806,IBP,CS,PRK TRIM NON EH D,MISC,1,5.125,19.5,23.5,60,60.5,2.5
P0841PA,30027182546806,IBP,PAL,PRK TRIM NON EH D,,28,76,40,48,1680,1694,0
P0841PE,90027182546815,IBP,CS,PORK TRIMMINGS,MISC,1,42,39,47,100,2900,0
P0841PE,90027182546815,IBP,PAL,PORK TRIMMINGS,,1,76,40,48,100,2900,0
10101A91,90027182579776,IBP,CS,GROUND BEEF 73/27 (1,9OW,1,10.5,19.5,23.5,22.08,25.2,5.3
10101A91,90027182579776,IBP,PAL,GROUND BEEF 73/27 (1,,28,76,40,48,618.24,705.6,0
10105A9Q,90027182557828,IBP,CS,73% NATURAL ANGUS 1#,9OW,1,10.5,19.875,23.5625,29.1,31.5,4.7
10105A9Q,90027182557828,IBP,PAL,73% NATURAL ANGUS 1#,,28,76,40,48,814.8,882,0
10105D8Q,90027182557835,IBP,CS,73% NATURAL ANGUS 2#,8OW,1,8.4375,19.875,23.5625,27,30.5,4
10105D8Q,90027182557835,IBP,PAL,73% NATURAL ANGUS 2#,,32,76,40,48,864,976,0
10115A9Q,90027182557842,IBP,CS,ANGUS CHUCK 80/20 1#,9OW,1,10.5,15.1875,23.1875,26.4,32.5,5.6
10115A9Q,90027182557842,IBP,PAL,ANGUS CHUCK 80/20 1#,,28,76,40,48,739.2,910,0
10115D8Q,90027182557859,IBP,CS,ANGUS CHUCK 80/20 2#,8OW,1,8,19.875,23.5625,26.4,30.5,4.3
10115D8Q,90027182557859,IBP,PAL,ANGUS CHUCK 80/20 2#,,32,76,40,48,844.8,976,0
10121A91,90027182579820,IBP,CS,GROUND RD 85/15 (1),9OW,1,10.5,19.5,23.5,22.8,25.2,5.3
10121A91,90027182579820,IBP,PAL,GROUND RD 85/15 (1),,28,76,40,48,638.4,705.6,0
10125A9Q,90027182557866,IBP,CS,ANGUS ROUND 85% 1#,9OW,1,10.5,19.5,23.5,29.1,31.5,4.7
10125A9Q,90027182557866,IBP,PAL,ANGUS ROUND 85% 1#,,28,76,40,48,814.8,882,0
10125A9Q,90027182557866,DAKOTA,CS,ANGUS ROUND 85% 1#,9OW,1,10.5,15.1875,23.1875,26.4,32.5,5.6
10125A9Q,90027182557866,DAKOTA,PAL,ANGUS ROUND 85% 1#,,28,76,40,48,739.2,910,0
10135A9Q,90027182557873,IBP,CS,ANGUS 93% GROUND BEEF 1#,9OW,1,10.5,19.875,23.5625,29.1,31.5,4.7
10135A9Q,90027182557873,IBP,PAL,ANGUS 93% GROUND BEEF 1#,,28,76,40,48,814.8,882,0
10141A91,90027182579844,IBP,CS,LEAN SR 90% (2 C),9OW,1,10.5,19.5,23.5,22.8,25.3,5.6
10141A91,90027182579844,IBP,PAL,LEAN SR 90% (2 C),,28,76,40,48,638.4,705.6,0
10145A9Q,90027182557880,IBP,CS,ANGUS SIRLOIN 90/10 1#,9OW,1,10.125,15.1875,23.1875,29.1,31.5,5.6
10145A9Q,90027182557880,IBP,PAL,ANGUS SIRLOIN 90/10 1#,,28,76,40,48,814.8,882,0
10151A91,90027182579912,IBP,CS,EXTRA LEAN GB 96% 1.00 CAT,9OW,1,10.5,19.5,23.5,20,26.4,6
10151A91,90027182579912,IBP,PAL,EXTRA LEAN GB 96% 1.00 CAT,,28,76,40,48,638.4,739.2,0
10155A9Q,90027182557897,IBP,CS,ANGUS EXTRA LEAN GB 96% 1#,9OW,1,10.5,19.875,23.5625,29.1,31.5,4.7
